SessionID,UserID,ChargerID,ScheduledSlot,EnergyKWh,ElectricityCostPerKWh,CustomerPricePerKWh,EstimatedRevenue,EstimatedCost,EstimatedProfit
15,556,573,2022-09-25 11:00:00,6.121126760563381,7.0,10.0,61.21126760563381,42.84788732394367,18.36338028169014
15,556,573,2022-09-25 12:00:00,6.121126760563381,7.0,10.0,61.21126760563381,42.84788732394367,18.36338028169014
15,556,573,2022-09-25 13:00:00,6.121126760563381,7.0,10.0,61.21126760563381,42.84788732394367,18.36338028169014
15,556,573,2022-09-25 14:00:00,6.121126760563381,7.0,10.0,61.21126760563381,42.84788732394367,18.36338028169014
15,556,573,2022-09-25 15:00:00,6.121126760563381,7.0,10.0,61.21126760563381,42.84788732394367,18.36338028169014
15,556,573,2022-09-25 16:00:00,6.121126760563381,11.0,10.0,61.21126760563381,67.33239436619719,-6.121126760563381
15,556,573,2022-09-25 17:00:00,6.121126760563381,11.0,10.0,61.21126760563381,67.33239436619719,-6.121126760563381
16,1131,89,2022-07-21 22:00:00,6.6466666666666665,7.0,10.0,66.46666666666667,46.526666666666664,19.939999999999998
16,1131,89,2022-07-21 23:00:00,6.6466666666666665,7.0,10.0,66.46666666666667,46.526666666666664,19.939999999999998
16,1131,89,2022-07-22 00:00:00,6.6466666666666665,5.0,10.0,66.46666666666667,33.233333333333334,33.233333333333334
16,1131,89,2022-07-22 01:00:00,6.6466666666666665,5.0,10.0,66.46666666666667,33.233333333333334,33.233333333333334
16,1131,89,2022-07-22 02:00:00,6.6466666666666665,5.0,10.0,66.46666666666667,33.233333333333334,33.233333333333334
16,1131,89,2022-07-22 03:00:00,6.6466666666666665,5.0,10.0,66.46666666666667,33.233333333333334,33.233333333333334
16,1131,89,2022-07-22 04:00:00,6.6466666666666665,5.0,10.0,66.46666666666667,33.233333333333334,33.233333333333334
16,1131,89,2022-07-22 05:00:00,6.6466666666666665,5.0,10.0,66.46666666666667,33.233333333333334,33.233333333333334
16,1131,89,2022-07-22 06:00:00,6.6466666666666665,7.0,10.0,66.46666666666667,46.526666666666664,19.939999999999998
17,0,37,2022-07-27 17:00:00,1.0,11.0,10.0,10.0,11.0,-1.0
18,391,107,2022-09-24 17:00:00,6.866666666666667,11.0,10.0,68.66666666666667,75.53333333333333,-6.866666666666667
18,391,107,2022-09-24 18:00:00,6.866666666666667,11.0,10.0,68.66666666666667,75.53333333333333,-6.866666666666667
18,391,107,2022-09-24 19:00:00,6.866666666666667,11.0,10.0,68.66666666666667,75.53333333333333,-6.866666666666667
19,0,91,2022-09-01 12:00:00,6.704000000000001,7.0,10.0,67.04,46.928000000000004,20.112000000000002
19,0,91,2022-09-01 13:00:00,6.704000000000001,7.0,10.0,67.04,46.928000000000004,20.112000000000002
19,0,91,2022-09-01 14:00:00,6.704000000000001,7.0,10.0,67.04,46.928000000000004,20.112000000000002
20,16,519,2022-09-04 15:00:00,6.98,7.0,10.0,69.80000000000001,48.86,20.94
21,277,48,2022-07-24 00:00:00,6.711111111111111,5.0,10.0,67.11111111111111,33.55555555555556,33.55555555555556
21,277,48,2022-07-24 01:00:00,6.711111111111111,5.0,10.0,67.11111111111111,33.55555555555556,33.55555555555556
21,277,48,2022-07-24 02:00:00,6.711111111111111,5.0,10.0,67.11111111111111,33.55555555555556,33.55555555555556
21,277,48,2022-07-24 03:00:00,6.711111111111111,5.0,10.0,67.11111111111111,33.55555555555556,33.55555555555556
21,277,48,2022-07-24 04:00:00,6.711111111111111,5.0,10.0,67.11111111111111,33.55555555555556,33.55555555555556
21,277,48,2022-07-24 05:00:00,6.711111111111111,5.0,10.0,67.11111111111111,33.55555555555556,33.55555555555556
21,277,48,2022-07-24 06:00:00,6.711111111111111,7.0,10.0,67.11111111111111,46.97777777777778,20.133333333333333
21,277,48,2022-07-24 07:00:00,6.711111111111111,7.0,10.0,67.11111111111111,46.97777777777778,20.133333333333333
21,277,48,2022-07-24 08:00:00,6.711111111111111,7.0,10.0,67.11111111111111,46.97777777777778,20.133333333333333
22,0,65,2022-09-28 16:00:00,6.863636363636363,11.0,10.0,68.63636363636363,75.5,-6.863636363636363
22,0,65,2022-09-28 17:00:00,6.863636363636363,11.0,10.0,68.63636363636363,75.5,-6.863636363636363
22,0,65,2022-09-28 18:00:00,6.863636363636363,11.0,10.0,68.63636363636363,75.5,-6.863636363636363
23,747,43,2022-08-13 09:00:00,6.467532467532467,7.0,10.0,64.67532467532467,45.27272727272727,19.4025974025974
23,747,43,2022-08-13 10:00:00,6.467532467532467,7.0,10.0,64.67532467532467,45.27272727272727,19.4025974025974
